Title,Year,Platform,Lead developer
Call of Duty,2003,Windows  macOS  N-Gage  PS3  X360,Infinity Ward
Call of Duty 2,2005,Windows  macOS  X360  J2ME,Infinity Ward
Call of Duty 3,2006,PS2  PS3  Wii  Xbox  X360  J2ME,Treyarch
Call of Duty 4: Modern Warfare,2007,Windows  macOS  NDS  PS3  PS4 (Remastered)  Wii  X360  XONE (Remastered)  J2ME,Infinity Ward (Original)  Raven Software (Remastered)
Call of Duty: World at War,2008,Windows  NDS  PS3  Wii  X360  Windows Mobile  J2ME,Treyarch
Call of Duty: Modern Warfare 2,2009,Windows  macOS  NDS  PS3  X360,Infinity Ward (Original)  Beenox (Remastered)
Call of Duty: Black Ops,2010,Windows  macOS  NDS  PS3  Wii  X360  J2ME,Treyarch
Call of Duty: Modern Warfare 3,2011,Windows  macOS  NDS  PS3  Wii  X360,Infinity Ward  Sledgehammer Games
Call of Duty: Black Ops II,2012,Windows  PS3  Wii U  X360,Treyarch
Call of Duty: Ghosts,2013,Windows  PS3  PS4  Wii U  X360  XONE,Infinity Ward
Call of Duty: Advanced Warfare,2014,Windows  PS3  PS4  X360  XONE,Sledgehammer Games
Call of Duty: Black Ops III,2015,Windows  macOS  PS3  PS4  X360  XONE,Treyarch
Call of Duty: Infinite Warfare,2016,Windows  PS4  XONE,Infinity Ward
Call of Duty: WWII,2017,Windows  PS4  XONE,Sledgehammer Games
Call of Duty: Black Ops 4,2018,Windows  PS4  XONE,Treyarch
Call of Duty: Modern Warfare,2019,Windows  PS4  XONE,Infinity Ward
Call of Duty: Warzone,2020,Windows  PS4  XONE,Infinity Ward  Raven Software
Call of Duty: Black Ops Cold War,2020,Windows  PS4  PS5  XONE  XSXS,Treyarch  Raven Software
Call of Duty: Vanguard,2021,Windows  PS4  PS5  XONE  XSXS,Sledgehammer Games
Untitled Modern Warfare Sequel,2022,Windows  PS5  XSXS,Infinity Ward
