Production Company,Nominations,Wins
20th Century Studios,62,9
Columbia Pictures,56,12
Metro-Goldwyn-Mayer,40,9
Universal Pictures,34,9
Warner Bros. Pictures,25,9
Paramount Pictures,20,11
Searchlight Pictures,19,5
Miramax Films,15,4
DreamWorks,13,4
RKO Pictures,11,1
Focus Features,10,0
Plan B Entertainment,8,3
Samuel Goldwyn Productions,8,1
Orion Pictures,6,4
Touchstone Pictures,6,0
The Weinstein Company,6,2
Selznick International Pictures,5,2
Annapurna Pictures,5,0
Netflix,5,0
A24,4,1
Walt Disney Pictures,4,0
J. Arthur Rank-Two Cities Films,3,1
New Line Cinema,3,1
Cosmopolitan,3,0
Amazon Studios,2,0
Pixar Animation Studios,2,0
Hollywood Pictures,2,0
The Caddo Company,2,0
Walter Wanger (production company),2,0
Mercury,2,0
